k,Energy (eV)
0.833342,-4.123918
0.85715,-4.15249
0.880962,-4.178341
0.90477,-4.200111
0.928582,-4.217798
0.952389,-4.231403
0.976202,-4.238207
1.000009,-4.240928
,
,
0.66667,-4.066773
0.690482,-4.036841
0.71429,-4.024596
0.738102,-3.990581
0.76191,-3.888537
0.785722,-3.759283
0.80953,-3.608258
0.833342,-3.440907
0.85715,-3.382402
0.880962,-3.420498
0.90477,-3.453152
0.928582,-3.477642
0.952389,-3.49533
0.976202,-3.506215
1.000009,-3.510297
,
,
0.66667,-2.917084
0.690482,-2.922526
0.71429,-3.001439
0.738102,-3.081713
0.76191,-3.155185
0.785722,-3.223214
0.80953,-3.283079
0.833342,-3.336142
0.85715,-3.262671
0.880962,-3.078993
0.90477,-2.898036
0.928582,-2.730684
0.952389,-2.590544
0.976202,-2.493943
1.000009,-2.459929
,
,
0.66667,-2.816401
0.690482,-2.884429
0.71429,-2.834088
0.738102,-2.740208
0.76191,-2.615035
0.785722,-2.48578
0.80953,-2.454486
0.833342,-2.431357
0.85715,-2.415029
0.880962,-2.405505
0.90477,-2.398703
0.928582,-2.395981
0.952389,-2.394621
0.976202,-2.394621
1.000009,-2.394621
,
,
0.66667,-2.816401
0.690482,-2.726602
0.71429,-2.649049
0.738102,-2.582381
0.76191,-2.527958
0.785722,-2.465371
0.80953,-2.295298
0.833342,-2.112981
0.85715,-1.92386
0.880962,-1.73474
0.90477,-1.552422
0.928582,-1.389152
0.952389,-1.255815
0.976202,-1.167378
1.000009,-1.137445
,
,
0.66667,0.435386
0.690482,0.447631
0.71429,0.481645
0.738102,0.54015
0.76191,0.617703
0.785722,0.708862
0.80953,0.805463
0.833342,0.887098
0.85715,0.923834
0.880962,0.877574
0.90477,0.745598
0.928582,0.574165
0.952389,0.413616
0.976202,0.299328
1.000009,0.25851
,
,
0.66667,4.564746
0.690482,4.336169
0.71429,4.040922
0.738102,3.717104
0.76191,3.379681
0.785722,3.042257
0.80953,2.72116
0.833342,2.436799
0.85715,2.225909
0.880962,2.126586
0.90477,2.144274
0.928582,2.234072
0.952389,2.242236
0.976202,2.122505
1.000009,2.080327
,
,
0.66667,4.564746
0.690482,4.659986
0.71429,4.674953
0.738102,4.579712
0.76191,4.38651
0.785722,4.12936
0.80953,3.838196
0.833342,3.532065
0.85715,3.227296
0.880962,2.93341
0.90477,2.661294
0.928582,2.427275
0.952389,2.347
0.976202,2.442241
1.000009,2.478977
,
,
0.66667,4.650462
0.690482,4.711689
0.71429,4.76203
0.738102,4.783799
0.76191,4.775636
0.785722,4.741621
0.80953,4.683116
0.833342,4.600121
0.85715,4.495356
0.880962,4.368822
0.90477,4.224601
0.928582,4.072216
0.952389,3.930716
0.976202,3.82323
1.000009,3.782412
,
,
0.66667,6.083153
0.690482,5.968864
0.71429,5.900836
0.738102,5.922605
0.76191,6.023288
0.785722,6.163427
0.80953,6.289961
0.833342,6.340303
0.85715,6.266831
0.880962,6.107643
0.90477,5.975667
0.928582,5.873623
0.952389,5.802874
0.976202,5.760695
1.000009,5.74709
,
,
0.66667,6.107643
0.690482,6.16887
0.71429,6.284519
0.738102,6.353909
0.76191,6.398808
0.785722,6.428741
0.80953,6.473639
0.833342,6.443707
0.85715,6.338942
0.880962,6.322615
0.90477,6.303567
0.928582,6.28724
0.952389,6.273634
0.976202,6.265471
1.000009,6.261389
,
,
0.66667,6.107643
0.690482,6.201523
0.71429,6.2886
0.738102,6.436904
0.76191,6.597452
0.785722,6.688611
0.80953,6.611058
0.833342,6.582486
0.85715,6.721265
0.880962,6.847799
0.90477,6.948482
0.928582,7.024675
0.952389,7.075016
0.976202,7.104949
1.000009,7.114472
,
,
0.66667,7.826056
0.690482,7.760748
0.71429,7.639657
0.738102,7.476387
0.76191,7.309035
0.785722,7.219237
0.80953,7.313118
0.833342,7.518565
0.85715,7.758028
0.880962,8.004292
0.90477,8.243753
0.928582,8.407023
0.952389,8.558048
0.976202,8.672337
1.000009,8.714515
,
,
0.66667,7.826056
0.690482,7.838301
0.71429,7.813811
0.738102,7.778435
0.76191,7.755306
0.785722,7.758028
0.80953,7.792042
0.833342,7.85871
0.85715,7.959393
0.880962,8.090009
0.90477,8.245114
0.928582,8.472331
0.952389,8.675058
0.976202,8.834246
1.000009,8.902275
,
,
0.66667,8.963501
0.690482,8.981189
0.71429,9.028809
0.738102,9.088675
0.76191,9.164866
0.785722,9.245141
0.80953,9.322695
0.833342,9.390723
0.85715,9.439704
0.880962,9.466915
0.90477,9.469637
0.928582,9.442425
0.952389,9.389362
0.976202,9.324055
1.000009,9.285958
,
,
0.66667,8.963501
0.690482,8.987991
