k,Energy (eV)
0.62732,2.852456
0.65346,2.795311
0.67959,2.74361
0.70573,2.69735
0.73187,2.656533
0.75801,2.622518
0.78415,2.593946
0.81029,2.570816
0.83642,2.55585
0.86256,2.546325
0.8887,2.542244
,
,
0.0,3.568121
0.02614,3.569481
0.05228,3.574924
0.07842,3.584448
0.10455,3.595333
0.13069,3.610299
0.15683,3.626626
0.18297,3.644314
0.20911,3.664722
0.23525,3.686492
0.26138,3.686492
0.28752,3.649756
0.31366,3.607578
0.3398,3.559958
0.36594,3.506895
0.39207,3.44975
0.41821,3.387164
0.44435,3.321856
0.47049,3.253827
0.49663,3.184438
0.52277,3.113687
0.5489,3.048379
0.57504,3.130014
0.60118,3.21437
0.62732,3.300087
0.65346,3.388525
0.67959,3.478323
0.70573,3.56676
0.73187,3.644314
0.75801,3.701458
0.78415,3.738193
0.81029,3.757241
0.83642,3.768126
0.86256,3.772208
0.8887,3.773569
,
,
0.0,3.568121
0.02614,3.569481
0.05228,3.574924
0.07842,3.584448
0.10455,3.595333
0.13069,3.610299
0.15683,3.626626
0.18297,3.644314
0.20911,3.664722
0.23525,3.686492
0.26138,3.709621
0.28752,3.734112
0.31366,3.761323
0.3398,3.791256
0.36594,3.82391
0.39207,3.859285
0.41821,3.900103
0.44435,3.946362
0.47049,3.996703
0.49663,4.053848
0.52277,4.115074
0.5489,4.078339
0.57504,4.041603
0.60118,4.013031
0.62732,3.991261
0.65346,3.977655
0.67959,3.974934
0.70573,3.984459
0.73187,4.017112
0.75801,4.078339
0.78415,4.172219
0.81029,4.289228
0.83642,4.418484
0.86256,4.540936
0.8887,4.602162
,
,
0.0,3.825271
0.02614,3.825271
0.05228,3.821189
0.07842,3.815746
0.10455,3.807583
0.13069,3.796698
0.15683,3.783093
0.18297,3.765405
0.20911,3.743636
0.23525,3.716424
0.26138,3.709621
0.28752,3.734112
0.31366,3.761323
0.3398,3.791256
0.36594,3.82391
0.39207,3.859285
0.41821,3.900103
0.44435,3.946362
0.47049,3.996703
0.49663,4.053848
0.52277,4.115074
0.5489,4.184464
0.57504,4.257935
0.60118,4.338209
0.62732,4.423926
0.65346,4.513724
0.67959,4.607604
0.70573,4.702845
0.73187,4.798086
0.75801,4.891965
0.78415,4.979042
0.81029,5.056596
0.83642,5.093331
0.86256,5.037548
0.8887,4.981763
,
,
0.0,3.841598
0.02614,3.837516
0.05228,3.830713
0.07842,3.825271
0.10455,3.82391
0.13069,3.829352
0.15683,3.841598
0.18297,3.859285
0.20911,3.882415
0.23525,3.910987
0.26138,3.942281
0.28752,3.979016
0.31366,4.018473
0.3398,4.05929
0.36594,4.102829
0.39207,4.146368
0.41821,4.187185
0.44435,4.215757
0.47049,4.206233
0.49663,4.165416
0.52277,4.120517
0.5489,4.184464
0.57504,4.257935
0.60118,4.338209
0.62732,4.423926
0.65346,4.513724
0.67959,4.607604
0.70573,4.702845
0.73187,4.798086
0.75801,4.891965
0.78415,4.979042
0.81029,5.056596
0.83642,5.117822
0.86256,5.158639
0.8887,5.173605
,
,
0.0,4.104189
0.02614,4.116435
0.05228,4.150449
0.07842,4.19807
0.10455,4.255214
0.13069,4.315079
0.15683,4.374945
0.18297,4.430729
0.20911,4.48107
0.23525,4.520527
0.26138,4.547739
0.28752,4.557262
0.31366,4.55182
0.3398,4.52733
0.36594,4.489233
0.39207,4.441613
0.41821,4.391272
0.44435,4.351815
0.47049,4.353176
0.49663,4.389912
0.52277,4.438892
0.5489,4.493315
0.57504,4.55182
0.60118,4.613046
0.62732,4.676994
0.65346,4.740941
0.67959,4.806249
0.70573,4.870196
0.73187,4.932783
0.75801,4.989927
0.78415,5.038908
0.81029,5.078365
0.83642,5.117822
0.86256,5.158639
0.8887,5.173605
,
,
0.0,5.723279
0.02614,5.726001
0.05228,5.735525
0.07842,5.750491
0.10455,5.7709
0.13069,5.798111
0.15683,5.830766
0.18297,5.867501
0.20911,5.909679
0.23525,5.954578
0.26138,6.002199
0.28752,6.049819
0.31366,6.038934
0.3398,6.043016
0.36594,6.064785
0.39207,6.100161
0.41821,6.149141
0.44435,6.206285
0.47049,6.271594
0.49663,6.328738
0.52277,6.33418
0.5489,6.332819
0.57504,6.31105
0.60118,6.279757
0.62732,6.255266
0.65346,6.233497
0.67959,6.21717
0.70573,6.142338
0.73187,5.95866
0.75801,5.773621
0.78415,5.588582
0.81029,5.410347
0.83642,5.256601
0.86256,5.185851
0.8887,5.179048
,
,
0.0,5.723279
0.02614,5.726001
0.05228,5.735525
0.07842,5.750491
0.10455,5.7709
0.13069,5.798111
0.15683,5.830766
0.18297,5.867501
0.20911,5.909679
0.23525,5.954578
0.26138,6.002199
0.28752,6.051179
0.31366,6.100161
0.3398,6.14642
0.36594,6.191319
0.39207,6.230776
0.41821,6.266151
0.44435,6.294723
0.47049,6.315132
0.49663,6.328738
0.52277,6.33418
0.5489,6.332819
0.57504,6.324656
0.60118,6.30969
0.62732,6.290642
0.65346,6.264791
0.67959,6.234858
0.70573,6.202204
0.73187,6.165468
0.75801,6.128733
0.78415,6.090636
0.81029,6.0539
0.83642,6.022607
0.86256,6.002199
0.8887,5.994035
,
,
0.0,6.151862
0.02614,6.153223
0.05228,6.160026
0.07842,6.16955
0.10455,6.177713
0.13069,6.180435
0.15683,6.176353
0.18297,6.161386
0.20911,6.135535
0.23525,6.104242
0.26138,6.074309
0.28752,6.051179
0.31366,6.100161
0.3398,6.14642
0.36594,6.191319
0.39207,6.230776
0.41821,6.266151
0.44435,6.294723
0.47049,6.315132
0.49663,6.340983
0.52277,6.392685
0.5489,6.347786
0.57504,6.324656
0.60118,6.30969
0.62732,6.290642
0.65346,6.264791
0.67959,6.234858
0.70573,6.202204
0.73187,6.165468
0.75801,6.128733
0.78415,6.090636
0.81029,6.0539
0.83642,6.022607
0.86256,6.002199
0.8887,5.994035
,
,
0.0,7.611765
0.02614,7.598159
0.05228,7.561423
0.07842,7.513803
0.10455,7.463461
0.13069,7.424005
0.15683,7.400875
0.18297,7.402235
0.20911,7.426726
0.23525,7.36686
0.26138,7.258014
0.28752,7.147807
0.31366,7.038961
0.3398,6.932835
0.36594,6.832152
0.39207,6.738272
0.41821,6.651195
0.44435,6.573642
0.47049,6.504252
0.49663,6.444387
0.52277,6.413094
0.5489,6.482483
0.57504,6.547791
0.60118,6.59269
0.62732,6.580445
0.65346,6.474319
0.67959,6.317853
0.70573,6.203564
0.73187,6.19404
0.75801,6.185877
0.78415,6.180435
0.81029,6.176353
0.83642,6.173632
